r,x,PSRType(A),cluster
4.75,17.73,1,0
12.19999981,29.5,1,1
4.0999999,9.80000019,1,0
0.89999998,1.20000005,1,0
1.0,6.8,1,0
1.4,4.9,1,0
1.5,10.1,1,0
1.4,4.9,1,0
3.86,6.56,1,0
11.35,28.14,1,1
2.34,8.21,1,0
5.54,14.1,1,0
1.12,3.98,1,0
9.28,21.4,1,1
0.62,2.34,1,0
0.34,1.29,1,0
0.99,3.09,1,0
1.28,3.33,1,0
0.73,4.74,1,0
17.87,61.66,1,1
1.55,3.73,1,0
8.61,19.47,1,1
21.7,46.59,1,1
11.61,29.24,1,1
8.22,15.72,1,1
4.1,5.6,1,0
2.15,7.6,1,0
11.52,24.43,1,1
26.83,49.41,1,1
0.91,0.86,1,0
16.2,31.5,1,1
5.7,24.9,1,1
3.6,8.6,1,0
11.88000011,44.29999924,1,1
0.198,0.256,1,0
0.231,0.298,1,0
0.1,0.1,1,0
0.1,0.1,1,0
21.97,85.81,1,1
9.23,36.74,1,1
0.64,2.79,1,0
8.44,36.94,1,1
17.11,25.23,1,1
1.05,2.5,1,0
2.7,7.5,1,0
5.79,13.9,1,0
12.1,19.8,1,1
15.78,24.67,1,1
2.08,4.72,1,0
1.23,3.58,1,0
3.42,7.1,1,0
4.44,13.89,1,0
3.64,10.79,1,0
12.3,17.6,1,1
6.17,11.8,1,0
0.53,1.08,1,0
8.8,14.7,1,1
24.45,40.15,1,1
2.1,3.2,1,0
1.4,3.23,1,0
1.15,2.6,1,0
7.0,16.52,1,1
0.85,2.47,1,0
11.09,26.6,1,1
12.4,24.5,1,1
13.4,18.1,1,1
2.3,5.4,1,0
0.9,2.0,1,0
1.5,2.3,1,0
1.0,2.8,1,0
25.8,40.28,1,1
12.93,26.7,1,1
5.23,12.1,1,0
22.85,44.94,1,1
0.13,0.38,1,0
12.1,23.1,1,1
6.0,14.4,1,0
4.61,7.85,1,0
15.2,28.96,1,1
2.6,6.3,1,0
0.87,2.57,1,0
5.06,11.66,1,0
1.3,4.0,1,0
1.8,4.2,1,0
1.2,3.44,1,0
3.54,5.34,1,0
6.12,34.27,1,1
8.8,23.4,1,1
9.1,21.5,1,1
5.09,9.92,1,0
0.41,1.48,1,0
9.02,14.24,1,1
7.37,11.21,1,0
0.59,1.7,1,0
0.1,0.0,1,0
0.15,0.84,1,0
9.0,51.3,1,1
0.14,2.48,1,0
3.27,18.31,1,0
9.0,39.38,1,1
0.51,1.45,1,0
4.7,10.4,1,0
0.73,2.66,1,0
0.57,1.38,1,0
0.5,1.05,1,0
2.4,5.64,1,0
7.5,14.7,1,1
4.58,8.73,1,0
2.4,5.9,1,0
5.9,14.2,1,0
6.38,15.23,1,0
0.8,1.52,1,0
1.53,4.29,1,0
3.62,9.43,1,0
4.8,9.4,1,0
0.41,1.48,1,0
16.3,24.6,1,1
0.49,1.47,1,0
1.79,5.27,1,0
2.0,3.46,1,0
1.85,4.19,1,0
8.1,45.36,1,1
6.29,14.47,1,0
25.9,40.31,1,1
0.78,1.7,1,0
0.59,1.7,1,0
3.21,14.07,1,0
0.2,1.0,1,0
1.84,5.55,1,0
0.6,1.2,1,0
1.89,4.28,1,0
1.13,2.39,1,0
1.8,5.6,1,0
1.9,5.6,1,0
3.23,18.06,1,0
4.0,10.9,1,0
7.5,13.4,1,0
0.0,0.1,1,0
7.4,14.5,1,1
4.5,7.1,1,0
7.2,10.4,1,0
5.6,7.3,1,0
2.3,4.5,1,0
4.7,9.2,1,0
0.0,0.1,1,0
3.7,8.4,1,0
0.5,1.3,1,0
2.15,11.55,1,0
9.72,13.5,1,1
11.7,17.1,1,1
0.0,0.1,1,0
24.67,35.85,1,1
6.9,10.9,1,0
2.3,6.7,1,0
2.8,8.2,1,0
9.9,18.9,1,1
46.06,65.16,1,1
16.6,26.2,1,1
19.29,25.5,1,1
2.85,4.98,1,0
0.0,0.1,1,0
1.24,3.64,1,0
41.59,52.35,1,1
0.95,3.75,1,0
6.4,9.9,1,0
0.57,1.69,1,0
0.0,0.1,1,0
12.3,18.3,1,1
2.25,6.05,1,0
3.7,8.8,1,0
2.17,5.2,1,0
6.6,12.3,1,0
0.71,2.4,1,0
7.8,9.2,1,0
1.6,2.5,1,0
0.22,0.93,1,0
0.22,0.93,1,0
0.51,0.31,1,0
0.1,0.31,1,0
6.0,8.1,1,0
4.3,8.2,1,0
0.59,1.7,1,0
0.59,1.7,1,0
5.6,9.5,1,0
2.1,4.2,1,0
10.46,19.92,1,1
5.18,7.93,1,0
2.22,5.17,1,0
