Uid;Assets;WirePhaseInfo;phaseWireCount;type
a376eb65-44e0-40b2-b56c-da467b862d6f;1;1;0;?????????
3c9531c1-1b19-4c9c-8684-7b7fefc0e67f;1;1;0;?????????
3f61b9e9-0e1e-4928-85b9-4e765a1e09de;1;1;0;?????????
10487d84-983e-41e4-aeb5-03cd99d7964f;1;1;0;?????????
687f840c-b7c3-4228-b2b9-22b65eed5fc7;1;1;0;?????????
fba534cf-5c82-4313-9341-8ee8dbe3f544;1;1;0;?????????
c769dbac-386e-4821-ae2c-dc93372d8bbd;1;1;0;?????????
08f40c4f-bc7a-4413-ae7a-69328244cda7;1;1;0;?????????
29e22c02-4909-4535-9a1a-07a111859670;1;1;0;?????????
a812085d-8b11-46b2-9b1b-adbb4f46c447;1;1;0;?????????
4c42764c-abe8-4e2f-abc7-3ee531731078;1;1;0;?????????
be396778-4ca9-46dd-b4f5-9838bee2f008;1;1;0;?????????
c70f4a8f-76c1-41b9-9c42-1595abec7469;1;1;0;?????????
143e5f1f-7f4f-4796-87ff-6caa3cfd207f;1;1;0;?????????
feebdfda-08ae-4e67-9b16-70ca99892680;1;1;0;?????????
5decbfcf-63a2-4fe2-961a-01e6265cbf25;1;1;0;?????????
ce970d68-0595-4350-b471-58b76374af93;1;1;0;?????????
14a64efa-458a-4464-aef6-bbaa6edc32d5;1;1;0;?????????
f7686fb1-09ac-4086-a742-9cebb8f14d1c;1;1;0;?????????
8d669cb9-97cd-49fe-b733-b14194a899dc;1;1;0;?????????
23fa7b4d-5ed5-43b6-bcce-a895bd2394f5;1;1;0;?????????
16e9675f-0ba3-4aaf-b54b-2cfa3b79fbfc;1;1;0;?????????
222632e5-7f36-47be-9967-f835c6c3a4d4;1;1;0;?????????
e0860adc-4432-4d5e-b64f-d291e6c76f34;1;1;0;?????????
3f35edac-4cb8-469f-830d-3b3eae2fa508;1;1;0;?????????
02500614-1ccd-4021-b226-8bb60e791a5e;1;1;0;?????????
bc8c3d22-8228-4a58-8db6-0301a979b76e;1;1;0;?????????
6981bcb4-688e-4e1c-8bb1-c9f2a68f04ec;1;1;0;?????????
d6045391-752e-4200-82f1-c39e2fc0387d;1;1;0;?????????
d75c3216-4b3e-41e1-9e05-d88d2935d481;1;1;0;?????????
7cd64afc-dbae-47eb-ab59-d0d7aa68bc2f;1;1;0;?????????
8fbbe6a3-ce91-4a31-a179-e63db5a860b4;1;1;0;?????????
e88f91b6-c198-4295-8862-4fb6181c5d70;1;1;0;?????????
3d7168e6-2d8c-4e20-8655-31150a3db0ce;1;1;0;?????????
a655b763-8cb8-4bf1-a165-d66291404cb4;1;1;0;?????????
e070c236-0b26-4fa7-b7b4-da487d3cf1f1;1;1;0;?????????
d4de889a-09c9-49af-970d-9bf2d42abc69;1;1;0;?????????
588269df-545f-4be2-8419-ee983435831c;1;1;0;?????????
07aa05b5-e376-42ee-8a8b-5d3076e0410b;1;1;0;?????????
cb2a6e86-951c-4be2-9dce-741084e5856e;1;1;0;?????????
b16f2672-f1f3-4da4-862f-7c1b39891685;1;1;0;?????????
704bf927-f4fe-477a-aae5-89617c609274;1;1;0;?????????
fb58dbb2-dcc5-4367-91b0-91e48aa06bdc;1;1;0;?????????
0beeca31-c491-4c6f-9ba8-d47ad20f4e3e;1;1;0;?????????
5658e921-6800-4f6d-bbf6-d7b2c295e85f;1;1;0;?????????
02febaaf-df8c-4dad-8ed6-c8421f88ead8;1;1;0;?????????
2e0d4f4b-44b6-4394-9040-12c2e885ba11;1;1;0;?????????
379f333c-c8e5-4610-9c49-2769753ae030;1;1;0;?????????
dfdbc411-747e-4168-8e12-746db4732d1c;1;1;0;?????????
ad831842-db74-4714-888f-c5308364dd2e;1;1;0;?????????
c4b598d1-c7fc-4235-88cd-0e58ab62fe07;1;1;0;?????????
8b145e46-3b80-4ffe-bdbf-d69f0a445bb9;1;1;0;?????????
229ac196-a28d-4252-8de6-0e8220a721f6;1;1;0;?????????
f766e8ba-22c2-4740-99f8-545f895b8395;1;1;0;?????????
b8ffdcf5-2db2-40e2-8f36-69c2bfd47182;1;1;0;?????????
38bd9f9e-e40c-4bf6-988e-dcc82df0e6f7;1;1;0;?????????
a45ffeed-1012-4d74-90eb-e46fbc9a460d;1;1;0;?????????
efe4b01d-96fe-4884-addf-335d308953ef;1;1;0;?????????
bdb51c5a-8936-44bc-8d5a-047c9711e219;1;1;1;?????????
f1f7e6a0-a04c-4245-815b-4f601e0c6094;1;1;1;?????????
f502361f-6146-4193-8ed5-358995168266;1;1;0;?????????
5cc685c3-b56c-4d9b-991c-04ae5f60da0a;1;1;0;?????????
f462f57e-9770-4cb6-ae90-8b7508da736e;1;1;0;?????????
224d3ad9-9f69-45be-b1bd-cf05d8545a8c;1;1;0;?????????
73d6dedc-6be2-4e05-9fc3-59de7750dc10;1;1;0;?????????
5febe7b4-26cc-4ab4-a3ce-e0239941d75c;1;1;0;?????????
52cb6cdb-8e8f-46c3-9d0a-f179424795fd;1;1;0;?????????
55e862e9-335e-46a1-8039-df4ac8c76c8a;1;1;0;?????????
b4b4e2b4-9498-46b8-b02b-2fa374887149;1;1;0;?????????
789736bd-61a9-44d6-bf81-ac9f268db62d;1;1;0;?????????
4d08b054-ff83-4561-ad6e-d08d12280d6d;1;1;0;?????????
5a41ed4e-264c-461e-be23-4cbc7a52a814;1;1;0;?????????
75fe5a68-c33d-48ad-b0a5-ea1a5fc54a5a;1;1;0;?????????
1722a6b1-3dc1-470f-8004-00912c64ef1c;1;1;0;?????????
11fda893-6668-49c7-af63-32527607488f;1;1;0;?????????
d0984006-6d51-4d0c-b795-7c305cf84dc2;1;1;0;?????????
2b808f4b-d8d1-416a-8241-d38e31e77cde;1;1;0;?????????
ad694c1e-8286-4ad5-991e-630048937a36;1;1;0;?????????
58e48144-37f3-46d3-9208-d9483210dbe4;1;1;0;?????????
a4bb33a6-0349-4704-b190-128b978232e8;1;1;0;?????????
7b9c1f6c-7bb3-4a25-b5f4-8de3c9bc2bf5;1;1;0;?????????
29dab613-da01-4876-b129-d69bcf086a03;1;1;0;?????????
618899c0-32ec-42fb-8363-a04de3c65338;1;1;0;?????????
ae39c291-7012-40de-be4a-7e2e1f1ee726;1;1;0;?????????
771e4883-29c5-4227-9541-e84ac956db2d;1;1;0;?????????
ac6906b5-cb59-43d1-a6ed-52d089c39b40;1;1;0;?????????
7097d03e-1109-4fd6-8ca8-16147ef2162a;1;1;0;?????????
79ebc43a-2b0c-4440-b30b-ea59b7c9a5e1;1;1;0;?????????
d8b29155-d28a-4699-8146-5007a2e578ab;1;1;0;?????????
97ad4985-e5dc-4b3b-85a3-23ed41d46b8d;1;1;0;?????????
074d441a-7193-49dd-a6ac-d406096fbbba;1;1;0;?????????
2fc936f6-ce4e-4f3e-a012-af6711b2d1af;1;1;0;?????????
9c593c5b-cbca-4713-a93a-9d7fbeed98b6;1;1;0;?????????
5f5afa0e-2764-4493-ae1b-cc87104cf1f1;1;1;0;?????????
b4edd804-3b28-4504-8331-e06c600970c0;1;1;0;?????????
162cf49a-46e3-421b-bc57-21bb96a5e4c9;1;1;0;?????????
95672b74-5792-4d4a-9454-f80f421d00e0;1;1;0;?????????
f6e08726-266d-45d5-9132-eee51c3f672d;1;1;0;?????????
e58c6037-67bc-4393-b17e-cace0a3dc901;1;1;0;?????????
07a04281-818a-44f9-8d69-b3d85a6b1e43;1;1;0;?????????
f758fee6-739e-4174-99e5-8c411779fbaf;1;1;0;?????????
d1f53a26-e92c-47e8-9d9d-bcb7f6d12f08;1;1;0;?????????
199a90ca-86a0-4b78-affd-7df8bb929212;1;1;0;?????????
1369710d-685e-48e1-8e27-d8d67d0bca88;1;1;0;?????????
8a7cb9c5-328a-4876-abb3-35b825d805d0;1;1;0;?????????
86f04515-ff0f-45b6-a54b-1cd643a4cfe6;1;1;0;?????????
a7c57aef-3410-4bb6-81da-86c7ec8fd4ec;1;1;0;?????????
19086201-f57f-40a2-af74-af7a71ad33df;1;1;0;?????????
6843d219-67fe-4e42-ae26-57846d0df1b2;1;1;0;?????????
bb088e81-bd56-4f95-97b1-a6fa70dea030;1;1;0;?????????
82ba4ecf-150c-4fac-8ed5-50225988a8f3;1;1;0;?????????
49b2ae96-516a-46b7-b9ba-c8816d394f9e;1;1;0;?????????
87c328cc-9ee3-4fed-aaac-23df9fa4cd1b;1;1;0;?????????
aa9a8665-5ee7-4e1e-abba-d83409a1d7ef;1;1;0;?????????
4cb47bf2-aedd-4ef9-9296-359605069097;2;1;0;?????????
4cb47bf2-aedd-4ef9-9296-359605069097;2;1;0;?????????
91e13f2b-13c0-42aa-bc10-92ecad7eca5d;1;1;0;?????????
b785fd0a-9498-4b64-8218-aafd4b22e6fa;2;1;0;?????????
b785fd0a-9498-4b64-8218-aafd4b22e6fa;2;1;0;?????????
a7f3f574-1b12-4f63-b0e7-fd2f13128e29;1;1;0;?????????
2f7491a1-219a-4a8f-a199-6ba43e680f77;1;1;0;?????????
c45eca15-dbec-476c-b4d4-dc3e3604d1e1;1;1;0;?????????
6a6c40b5-0f6c-45d1-82c0-f82682fbaff9;1;1;0;?????????
8f9f6662-ec85-40bb-9c92-23b93ee7610b;1;1;0;?????????
866306ab-6d43-4daa-aca8-9cde70a471ae;1;1;0;?????????
8c859504-acd6-495e-a086-dd0d0a46917f;1;1;0;?????????
304a890d-7c4b-47cd-b8d8-e183ddf29fad;1;1;0;?????????
576c75d4-e8f0-4a1b-a1f6-075e6d83918f;1;1;0;?????????
130862db-6d06-4b99-aeaf-2919f82bbe6c;1;1;0;?????????
77e9c7ee-66e5-418a-82ad-162b582fde5a;1;1;0;?????????
1b6a9604-df6e-4a80-aded-e4231fa06e12;1;1;0;?????????
d75eaece-a386-4c29-a2bd-a9eeda432f73;1;1;0;?????????
e3637e2d-e202-42f4-8a14-56403d8bb731;1;1;0;?????????
19dddb97-824d-49db-9f1b-7d27607d449a;1;1;0;?????????
abb22ef7-5bf3-4e38-a07e-d13c28856625;1;1;0;?????????
f89feb2d-e8f2-45d8-96e2-d07e69717d30;1;1;0;?????????
e1e50d9c-6f42-4b6f-bc04-1e841d148426;1;1;0;?????????
bc843b2a-80cd-416c-b4a9-6ab84aad88d6;1;1;0;?????????
4210ce5a-dae2-4a6c-ac67-62b9d91964eb;1;1;0;?????????
bc636477-8086-44a5-a9df-8c535bd58603;1;1;0;?????????
d48bae92-1db9-4a2a-ba78-d774f3f49417;1;1;0;?????????
bbd4f61e-5ba8-4900-8ae1-b34a8181370b;1;1;0;?????????
2c720715-dc96-477e-a7ae-55a5670ba71d;1;1;0;?????????
660bf874-2547-4593-b787-8d69fd4a948d;1;1;0;?????????
d17361d0-6c47-40ae-b4e7-5e4e5345fbfb;1;1;0;?????????
445c2081-abba-4fc9-9ef7-9e0f486b50e6;2;1;0;?????????
445c2081-abba-4fc9-9ef7-9e0f486b50e6;2;1;0;?????????
6a605b60-21fc-4f79-b9eb-0a00d4247aa6;1;1;0;?????????
539dbf39-a323-43ef-8e5c-2054addd7fa6;1;1;0;?????????
e3c17394-ac1c-4c95-a212-d9993fcbc78f;1;1;0;?????????
44401808-a116-488f-aeda-cf43807923bd;1;1;0;?????????
5dd33832-4090-47a8-846e-eec854c95faa;1;1;0;?????????
59dee363-cc3b-4c7c-a15a-13bc88363692;1;1;0;?????????
6c5e26f3-d34d-4084-9dc0-8821b2529728;1;1;0;?????????
fd22e02f-20ba-432d-a4d7-e005229aad4c;1;1;0;?????????
4a9d26ec-6432-4a68-be0c-9e92bfd4a5e2;1;1;0;?????????
5109515d-8ebf-4c8c-91e1-9b8edef833b9;1;1;0;?????????
b8764a20-2a03-46a4-b831-a691f13627a0;1;1;0;?????????
25f199f3-4d49-4eee-8d47-c90d4b1ea842;1;1;0;?????????
a1f58d7e-f8f5-4747-998d-db00c509a5c1;1;1;0;?????????
10212f8b-b701-4a78-9b38-944ab7d93816;1;1;0;?????????
48b8698d-8497-4c3a-b4f3-7f7830db0b19;1;1;0;?????????
923494a0-df61-45b7-aa68-c753711eac88;1;1;0;?????????
0a8687ae-2f4b-440f-9869-f6ad7846d621;1;1;0;?????????
9f3fd464-425a-4dd6-a804-568026d306fe;1;1;0;?????????
9db0c456-e276-4375-9141-7f37c73106c4;1;1;0;?????????
597b5349-2a86-459a-95be-1c1307bbb600;1;1;0;?????????
c0761afa-2046-44f8-ac05-5b2319cd5357;1;1;0;?????????
420c8439-4646-483a-b6bb-129a851c04c7;1;1;0;?????????
4cbbfdc0-da53-45fc-af4b-f227afea65a7;1;1;0;?????????
38e8adf1-f2f2-485c-8449-7c14a2bf2840;1;1;0;?????????
b9f875c2-a889-4742-a282-2257eb3fa9b9;1;1;0;?????????
69add0a3-47e0-454a-83fe-6c0e335d1292;1;1;0;?????????
e939f2c9-cf92-49b8-ae34-8f079bfa412b;1;1;0;?????????
cabcc633-f2ed-40b0-a0e3-c0bf6fe5bed4;1;1;0;?????????
c010cf27-3683-40c7-97c3-ffd3d8589dfd;1;1;0;?????????
2337fd64-83be-47ed-832f-58b3e3fd385d;1;1;0;?????????
