1;2;3;4;5;6
1;1967;15;10500,00;1520,00;55
0;1957;30;8000,00;1200,00;48,3
2;1966;24;8000,00;1200,00;48,3
1;1973;25;11600,00;1600,00;54,7
4;1968;25;12000,00;1610,00;53
2;1986;30;12500,00;1600,00;53,7
1;1954;70;6000,00;800;45
1;1966;30;11400,00;1610,00;53
3;2004;25;13800,00;2300,00;74,4
3;2015;15;5860,00;256;13,3
3;2015;15;5860,00;256;13,3
1;1962;25;5500,00;800;45
4;1981;30;7000,00;900;43,4
1;1971;25;10500,00;1600,00;53,5
2;1986;25;18000,00;2600,00;72,1
1;1979;30;22000,00;3200,00;81
1;1953;25;12000,00;1600,00;50
1;1977;10;16400,00;1600,00;53,7
3;1990;10;17000,00;2300,00;74,4
2;2015;20;12000,00;784;12,2
0;1983;25;11200,00;1600,00;53,7
0;1983;25;11200,00;1600,00;53,7
3;1978;15;28000,00;3200,00;82
2;2012;55;15000,00;1296,00;13,5
1;1978;25;28000,00;2600,00;71,8
2;1990;40;12000,00;1600,00;54,9
1;1965;50;10500,00;1520,00;55
3;1968;30;10500,00;1520,00;55
1;1976;25;3369,00;900;44,5
1;2011;50;21960,00;2100,00;64,9
2;1985;36;28000,00;3200,00;82
0;1980;36;28000,00;3200,00;82
0;1991;36;28000,00;3200,00;82
0;1968;25;11000,00;1600,00;50
1;1987;30;12000,00;1600,00;53,7
1;1965;30;10500,00;1520,00;55
3;1966;30;10500,00;1520,00;55
1;1952;40;6000,00;1200,00;45,3
2;1986;40;9000,00;1200,00;49,5
1;1981;40;7500,00;1200,00;49
1;1985;50;16800,00;2100,00;64,8
0;1959;50;8000,00;1200,00;44,6
2;1972;25;7000,00;1296,00;49
1;2011;30;3125,00;235;6,5
0;1972;25;11600,00;1600,00;52,7
1;1955;40;6000,00;1200,00;45,3
0;1988;30;16000,00;2100,00;64,8
1;1967;25;11200,00;1600,00;54
1;1981;25;29600,00;3200,00;82
2;1964;50;10500,00;1520,00;55
1;1955;36;10500,00;1520,00;55
1;1959;40;10000,00;1600,00;54
2;1973;100;28000,00;4000,00;91
2;1974;100;28000,00;4000,00;91
1;1982;26;14000,00;2100,00;64,8
0;1992;25;32000,00;3200,00;87
0;1998;25;32000,00;3200,00;87
3;1981;45;13000,00;1600,00;53,5
0;1954;25;10000,00;1600,00;48,74
2;1977;25;12000,00;1200,00;48,4
2;1981;30;12000,00;1600,00;55
1;1977;30;12000,00;1600,00;55
1;1979;30;12000,00;1600,00;55
2;1958;70;6000,00;800;45
1;1958;25;3450,00;800;45
2;1956;25;3450,00;800;45
1;1975;15;6000,00;1690,00;46,9
3;1980;25;12000,00;1600,00;53
2;1973;50;12200,00;1520,00;55
2;1974;50;12200,00;1520,00;55
1;1962;50;9700,00;1280,00;49,5
0;1956;25;8000,00;1200,00;42,7
0;1968;50;12500,00;1520,00;55
1;1976;25;20000,00;2600,00;72
1;2004;30;6800,00;768;12
0;1978;25;12000,00;1600,00;55,2
1;1988;25;10050,00;1200,00;53,3
1;1977;25;10500,00;1520,00;55,3
1;1987;25;10500,00;1520,00;55,3
0;1999;30;8000,00;1200,00;49,5
2;1972;70;10000,00;1610,00;53,5
1;1959;55;5000,00;400;24
1;1983;30;9000,00;1200,00;48,4
1;1982;30;9000,00;1200,00;48,4
2;2005;25;16000,00;2100,00;64,8
1;1988;25;26000,00;3200,00;81
2;1988;30;26000,00;3200,00;81
1;1955;75;4000,00;650;40
3;1988;25;756;108;8
2;1983;25;504;72;8
0;1985;25;9000,00;1200,00;48
1;1983;30;8000,00;1200,00;48,4
2;1954;30;5000,00;1000,00;45
0;1981;25;12000,00;1600,00;53,7
0;1992;25;500;32;6,5
0;1972;25;10000,00;1600,00;50
3;1974;50;36000,00;4200,00;102
0;1999;25;15000,00;1600,00;64,1
0;1960;40;8000,00;1600,00;50
1;1978;25;3000,00;500;10
2;1969;50;7000,00;1200,00;48,4
0;1983;25;21200,00;2100,00;64,8
0;1988;30;16000,00;2100,00;64,8
2;1970;25;11200,00;1600,00;54
1;1951;50;10500,00;1520,00;55,3
1;1963;36;10500,00;1520,00;55
2;2011;30;95000,00;10000,00;150
1;1986;25;22000,00;3200,00;81
0;1956;25;10500,00;1600,00;48,5
4;1963;25;12500,00;1610,00;54
7;1952;30;12000,00;1600,00;50
1;1997;30;23400,00;2600,00;71
2;1977;30;11000,00;1600,00;53,7
1;2006;25;31800,00;3200,00;86,1
0;1985;30;18600,00;2600,00;72
1;1972;25;10500,00;1600,00;53,5
2;1959;25;12000,00;1600,00;50
0;1952;25;7200,00;1200,00;45,3
3;1962;25;12000,00;1600,00;50
0;1993;25;14000,00;1600,00;64,1
0;1994;30;8000,00;1200,00;49,5
1;1960;15;10500,00;1520,00;55
1;1964;15;10500,00;1520,00;55
0;1985;60;30600,00;3200,00;86,1
1;1988;40;18600,00;2600,00;72
2;2011;25;10000,00;1200,00;53,5
1;1969;36;10500,00;1520,00;55
1;1966;36;10500,00;1520,00;55
0;1976;36;28000,00;3200,00;82
1;1956;75;4000,00;650;40
0;1975;25;11000,00;1600,00;50
0;1960;25;11000,00;1600,00;50
1;1988;25;18600,00;2600,00;72,2
1;1978;40;9000,00;900;43,5
3;1989;40;7500,00;1200,00;49
0;1955;25;10000,00;1600,00;62
2;1971;40;7760,00;1610,00;52,9
0;1982;30;14700,00;2100,00;64,9
2;1971;50;7000,00;1200,00;48,4
1;1986;30;8940,00;576;15
1;1962;25;8000,00;1000,00;43,8
1;1965;25;3200,00;256;8,8
1;2005;40;5000,00;1200,00;53,4
0;1992;30;16000,00;2100,00;64,8
1;1984;25;29600,00;3200,00;82
2;1989;25;29600,00;3200,00;82
1;1959;40;10000,00;1600,00;54
1;2013;20;368;501;4,1
1;1977;25;11000,00;1600,00;53,2
1;1959;30;10500,00;1520,00;55
1;1988;26;14000,00;2100,00;64,8
3;1982;30;9000,00;1200,00;48,3
1;2010;35;4800,00;384;14,5
1;1994;25;22000,00;3200,00;81
0;1981;30;10500,00;1600,00;54,2
1;1973;25;2500,00;324;34
1;2002;30;5780,00;595;18
4;1966;50;10000,00;1520,00;55,3
2;1984;30;22000,00;3200,00;81
5;1973;70;10000,00;1600,00;54,5
3;2015;15;5860,00;256;13,3
0;1992;30;22000,00;3200,00;81
1;1966;25;10800,00;1520,00;55,3
2;1975;50;12200,00;1520,00;55
0;1975;25;12000,00;1600,00;55,2
1;2013;15;11490,00;1300,00;53
11;1974;30;21000,00;2100,00;64,8
1;1992;25;10500,00;1520,00;55,3
0;1984;30;16000,00;1600,00;53,7
0;1993;60;30600,00;3200,00;86,1
0;2004;60;30600,00;3200,00;86,1
1;1970;40;11000,00;1600,00;53,9
1;2010;40;21000,00;3200,00;89
1;1977;25;12900,00;1600,00;53,66
2;1967;50;10500,00;1520,00;55
1;2006;25;30000,00;3200,00;86
1;1967;36;10500,00;1520,00;55
1;1952;30;3000,00;500;40
0;1970;25;10000,00;1600,00;50
1;1951;40;6000,00;1400,00;9,2
3;1974;50;36000,00;4200,00;102
0;1980;40;12000,00;1600,00;55
1;1983;50;16800,00;2100,00;64,8
0;1966;50;8000,00;1280,00;48,3
0;1964;25;10000,00;1600,00;62
2;1964;40;7760,00;1610,00;52,9
0;1980;30;14700,00;2100,00;64,9
1;1965;25;3000,00;500;10
2;1991;25;7900,00;1100,00;52
1;1988;50;12500,00;1600,00;53,5
1;1968;36;10500,00;1600,00;53
0;2011;25;23000,00;2300,00;74,4
0;1983;25;21200,00;2100,00;64,8
2;1976;25;11200,00;1600,00;54
1;1987;40;28000,00;3200,00;81
1;1980;40;25000,00;3200,00;81
2;2010;30;18540,00;1487,00;9,5
1;1966;36;10500,00;1520,00;55
1;1958;50;10500,00;1520,00;55,3
2;1966;50;10500,00;1520,00;55
1;1950;15;7000,00;1473,00;46,9
1;1966;36;10500,00;1520,00;55
1;1964;36;10500,00;1520,00;55
2;2008;30;32000,00;3200,00;80
1;1968;25;11000,00;1600,00;53,2
0;1971;30;9000,00;1280,00;48,3
0;1965;30;9000,00;1600,00;50
0;1973;30;10500,00;1600,00;54,5
0;1966;30;9000,00;1600,00;50
1;1971;25;11000,00;1600,00;53,2
4;1961;50;10000,00;1520,00;55,3
2;2006;40;33627,00;3200,00;87
5;1952;30;12000,00;1600,00;50
4;1965;70;12000,00;1600,00;50
2;2009;30;6800,00;768;12
1;1951;15;6000,00;1690,00;46,9
1;1975;25;12000,00;1600,00;53,7
1;1976;25;12000,00;1600,00;53,7
0;1984;25;11200,00;1600,00;53,7
0;1979;30;12000,00;1600,00;55
1;1962;55;5000,00;400;24
1;1981;25;28000,00;2600,00;71,8
1;1965;40;11000,00;1600,00;54,2
2;1977;40;16000,00;1600,00;54,8
1;1978;25;13000,00;1600,00;53,7
1;1985;25;26000,00;3200,00;81
1;1981;30;20800,00;2600,00;72
